# tuner station list
# name<TAB>url<TAB>genre<TAB>favorite(0/1)
#
# This file ships with the source and is the default list. Your own edits
# (from inside the app, or by hand) go to ~/.config/tuner/stations.tsv,
# which takes precedence over this one when it exists.
#
# Sources: radioparadise.com, radiofrance.fr/fip, jazzradio.fr, ouifm.fr,
# bbc.com/audio, srgssr.ch. Every url below was verified against its stream.
# OUI FM and BBC stream urls were resolved through the radio.net directory.
Radio Paradise Main	https://stream.radioparadise.com/mp3-192	eclectic	1
Radio Paradise Mellow	https://stream.radioparadise.com/mellow-192	mellow mix	0
Radio Paradise Rock	https://stream.radioparadise.com/rock-192	rock mix	0
Radio Paradise Global	https://stream.radioparadise.com/global-192	world mix	0
FIP	https://icecast.radiofrance.fr/fip-midfi.mp3	eclectic	1
FIP Rock	https://icecast.radiofrance.fr/fiprock-midfi.mp3	rock	0
FIP Jazz	https://icecast.radiofrance.fr/fipjazz-midfi.mp3	jazz	0
FIP Groove	https://icecast.radiofrance.fr/fipgroove-midfi.mp3	groove / soul	0
FIP Pop	https://icecast.radiofrance.fr/fippop-midfi.mp3	pop	0
FIP Electro	https://icecast.radiofrance.fr/fipelectro-midfi.mp3	electro	0
FIP Reggae	https://icecast.radiofrance.fr/fipreggae-midfi.mp3	reggae	0
FIP Metal	https://icecast.radiofrance.fr/fipmetal-midfi.mp3	metal	0
FIP Hip-Hop	https://icecast.radiofrance.fr/fiphiphop-midfi.mp3	hip hop	0
FIP Nouveautes	https://icecast.radiofrance.fr/fipnouveautes-midfi.mp3	new releases	0
Jazz Radio	https://jazzradio.ice.infomaniak.ch/jazzradio-high.mp3	jazz	1
JZR Classic Jazz	https://jazz-wr01.ice.infomaniak.ch/jazz-wr01-128.mp3	classic jazz	0
JZR Contemporary Jazz	https://jazz-wr05.ice.infomaniak.ch/jazz-wr05-128.mp3	modern jazz	0
JZR Jazz & Classique	https://jazz-wr17.ice.infomaniak.ch/jazz-wr17-128.mp3	jazz / classical	0
JZR Jazz & Cinema	https://jzr-wr20.ice.infomaniak.ch/jzr-wr20.mp3	film jazz	0
